q	gloss	clean	qtmplt	atmplt	ptag	ntag	count
8: is it ... hmm lets see\nhaving a crush on someone?	e==crush	8 is it hmm lets see having a crush on someone	{qnum:8} is {e:it} {hesitation:hmm lets see} having a crush on someone	{e:it} is hmm lets see having a crush on someone	NULL	NULL	1
infatuated?	e==infatuation	infatuated	{emotion:infatuated}	{e:it} is infatuated	NULL	NULL	1
is it flirtatious?	e==flirtatiousness	is it flirtatious	is {e:it} {emotion:flirtatious}	{e:it} is flirtatious	NULL	NULL	1
11, is it amourous	e==amourous	11 is it amorous	{qnum:11} is {e:it} {emotion:amorous}	{e:it} is amorous	NULL	NULL	1
12, horny?	e==horniness	horny	{qnum:12} {emotion:horny}	{e:it} is horny	NULL	NULL	1
doh, my battery is running out... I give up  =-O	giveup	doh my battery is running out I give up  =-O	{give-up:{excuse:doh my battery is running out} I give up  {emoticon:=-O}}		NULL	NULL	1
okay, first question: is it a positive emotion?	e.valence==positive	okay first question is it a positive emotion	{interjection:okay} {qnum:first question} is {e:it} a positive emotion	{e:it} is a positive emotion	NULL	NULL	1
is it an emotion that's directed at another person?	directed(e,otherPerson)	is it an emotion that's directed at another person	is {e:it} an emotion that's directed at {beneficiary:another person}	{e:it} an emotion that's directed at another person	NULL	NULL	1
third question, is it a strong emotion?	e.activation==high	third question is it a strong emotion	{qnum:third question} is {e:it} a strong emotion	{e:it} is a strong emotion	NULL	NULL	1
is the emotion "angry/anger"? (question number 5)	e==anger	is the emotion angry or anger question number 5	is {e:the emotion} {emotion:angry or anger} {qnum:question number 5}	{e:the emotion} is angry or anger	NULL	NULL	1
is it humorous one?	subset(e,humorous)	is it humorous one	is {e:it} humorous one	{e:it} is a humourous one	NULL	NULL	1
kind of a nightmare?	subset(e,nightmare)	kind of a nightmare	{emotion:kind of a nightmare}	{e:it} is a kind of nightmare	NULL	NULL	1
are you in sad mood?	situation(e,sad)	are you in sad mood	are {experiencer:you} in sad mood		NULL	NULL	1
are you helpless?	situation(e,helpless)	are you helpless	are {experiencer:you} helpless	NULL	NULL	NULL	1
outward or inward?	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
to person or things	non-yes-no	NULL	NULL	NULL	NULL	NULL	1
desperate	e==despair	desperate	{emotion:desperate}	NULL	NULL	NULL	1
devotion kind?	subset(e,devotion)	devotion kind	devotion kind	NULL	NULL	NULL	1
I have to get out. what is it?	giveup	I have to get out what is it	{give-up:{excuse:I have to get out} what is it}	NULL	NULL	NULL	1
great, question one: is it a positive emotion?	e.valence==positive	great question one is it a positive emotion	{interjection:great} {qnum:question one} is {e:it} a positive emotion	NULL	NULL	NULL	1
can it be a mental state? (number 2)	mentalState(e)	can it be a mental state number 2	can {e:it} be a mental state {qnum:number 2}	{e:it} can be a mental state	NULL	NULL	1
can this emotion be caused by another person?	cause(anotherPerson,e)	can this emotion be caused by another person	can {e:this emotion} {cause-by:be caused by} {agent:another person}	{e:this emotion} can be caused by another person	NULL	NULL	1
number 4: can the emotion be directed at another person?	directed(e,otherPerson)	number 4 can the emotion be directed at another person	{qnum:number 4} can {e:the emotion} be directed at {beneficiary:another person}	{e:the emotion} can be directed at another person	NULL	NULL	1
is the emotion "depressed" or "depression"	e==depression	is the emotion depressed or depression	is {e:the emotion} {emotion:depressed or depression}	NULL	NULL	NULL	1
number 6: would you say that the emotion is a strong emotion?	e.activation==high	number 6 would you say that the emotion is a strong emotion	{qnum:number 6} {modal:would you say that} {e:the emotion} is a strong emotion	you would say that {e:the emotion} is a strong emotion	NULL	NULL	1
number 7: is the emotion "bored" or "boredom"?	e==boredom	number 7 is the emotion bored or boredom	{qnum:number 7} is {e:the emotion} {emotion:bored or boredom}	NULL	NULL	NULL	1
is the emotion "sad"?	e==sadness	is the emotion sad	is {e:the emotion} {emotion:sad}	NULL	NULL	NULL	1
Is the emotion directed at one's self?	directed(e,self)	is the emotion directed at one's self	is {e:the emotion} directed at {beneficiary:one's self}	{e:the emotion} is directed at one's self	NULL	NULL	1
confused?	e==confusion	confused	{emotion:confused}		NULL	NULL	2
is it positive?	e.valence==positive	is it positive	is {e:it} positive	{e:it} is positive	NULL	NULL	15
is it directed at some other person?	directed(e,otherPerson)	is it directed at some other person	is {e:it} directed at {beneficiary:some other person}	{e:it} is directed at some other person	NULL	NULL	1
is it highly activated?	e.activation==high	is it highly activated	is {e:it} highly activated	{e:it} is highly activated	NULL	NULL	1
is it caused by sth unexpected?	cause(unexpectedEvent,e)	is it caused by something unexpected	is {e:it} {cause-by:caused by} {situation:something unexpected}	{e:it} is caused by something unexpected	NULL	NULL	1
it is a synonum to happiness, joy etc?	similar(e,happiness)	is it a synonym to happiness joy etc	is {e:it} a synonym to {emotion:happiness joy etc}	{e:it} is a synonym to happiness joy etc	NULL	NULL	1
is it related to the understanding of a situation, realizing or learning sth?	related(e,understanding||learning)	is it related to the understanding of a situation realizing or learning something	is {e:it} related to {situation:the understanding of a situation realizing or learning something}	{e:it} is related to the understanding of a situation realizing or learning something	NULL	NULL	1
is it sth like informed or vigilant?	similar(e,informed)||similar(e,vigilant)	is it something like informed or vigilant	is {e:it} something like {emotion:informed or vigilant}	{e:it} is something like informed or vigilant	NULL	NULL	1
aware?	e==aware	aware	{emotion:aware}	NULL	NULL	NULL	1
receptive?	e==receptive	receptive	{emotion:receptive}	NULL	NULL	NULL	1
alert?	e==alert	alert	{emotion:alert}	NULL	NULL	NULL	1
sensible?	e==sensible	sensible	{emotion:sensible}	NULL	NULL	NULL	1
enlightened?	e==enlighted	enlightened	{emotion:enlightened}	NULL	NULL	NULL	1
focused?	e==focused	focused	{emotion:focused}	NULL	NULL	NULL	1
absorbed?	e==absorbed	absorbed	{emotion:absorbed}	NULL	NULL	NULL	1
oh is it determined?	e==determined	oh is it determined	{interjection:oh} is {e:it} {emotion:determined}	NULL	NULL	NULL	1
keen?	e==keen	keen	{emotion:keen}	NULL	NULL	NULL	1
perseverance?	e==perseverance	perseverance	{emotion:perseverance}	NULL	NULL	NULL	1
persistence? resolute?	e==persistence	persistence resolute	{emotion:persistence resolute}	NULL	NULL	NULL	1
resolute?	e==resolute	resolute	{emotion:resolute}	NULL	NULL	NULL	1
bravery?	e==bravery	bravery	{emotion:bravery}	NULL	NULL	NULL	1
would i feel this if my dog died?	situation(e,dogDied)	would i feel this if my dog died	would {experiencer:i} feel {e:this} if {situation:{experiencer:my} dog died}	i would feel {e:this} if my dog died	NULL	NULL	1
would i feel this if it were my birthday?	situation(e,birthday)	would i feel this if it were my birthday	would {experiencer:i} feel {e:this} if {situation:it were my birthday}	i would feel {e:this} if it were my birthday	NULL	NULL	1
would i feel this if some one cut me off on the highway?	situation(e,cutoffOnHighway)	would i feel this if some one cut me off on the highway	would {experiencer:i} feel {e:this} if {situation:some one cut {experiencer:me} off on the highway}	i would feel {e:this} if some one cut me off on the highway	NULL	NULL	1
would i feel this if i saw a ghost	situation(e,seeGhost)	would i feel this if i saw a ghost	would {experiencer:i} feel {e:this} if {situation:{experiencer:i} saw a ghost}	i would feel {e:this} if i saw a ghost	NULL	NULL	1
would i feel this if i got in a fight with someone?	situation(e,fightWithSomeone)	would i feel this if i got in a fight with someone	would {experiencer:i} feel {e:this} if {situation:{experiencer:i} got in a fight with someone}	i would feel {e:this} if i got in a fight with someone	NULL	NULL	1
would i feel it if some one received something i wanted?	situation(e,recieveSomethingDesired)	would i feel it if some one received something i wanted	would {experiencer:i} feel {e:it} if {situation:some one received something {experiencer:i} wanted}	i would feel {e:it} if some one received something i wanted	NULL	NULL	1
anger?	e==anger	anger	{emotion:anger}	NULL	NULL	NULL	1
would i feel this if someone punched me in the face?	situation(e,punchedInFace)	would i feel this if someone punched me in the face	would {experiencer:i} feel {e:this} if {situation:someone punched {experiencer:me} in the face}	i would feel {e:this} if someone punched me in the face	NULL	NULL	1
would i feel this if i had a grudge against someone?	situation(e,haveGrudge)	would i feel this if i had a grudge against someone	would {experiencer:i} feel {e:this} if {situation:{experiencer:i} had a grudge against someone}	i would feel {e:this} if i had a grudge against someone	NULL	NULL	1
would i possibly shout at someone?	behavior(e,shouting)	would i possibly shout at someone	would {situation:{experiencer:i} possibly shout at someone}	i would possibly shout at someone	NULL	NULL	1
is it resentful?	e==resentful	is it resentful	is {e:it} {emotion:resentful}	{e:it} is resentful	NULL	NULL	1
is it passive aggresive	e==passiveAggressive	is it passive aggresive	is {e:it} {emotion:passive aggresive}	{e:it} is passive aggresive	NULL	NULL	1
is it aggressive aggressive?	e==aggressive	is it aggressive aggressive	is {e:it} {emotion:aggressive aggressive}	NULL	NULL	NULL	1
would i feel this if i hated myself?	situation(e,hateSelf)	would i feel this if i hated myself	would {experiencer:i} feel {e:this} if {situation:{experiencer:i} hated myself}	i would feel {e:this} if i hated myself	NULL	NULL	1
would i feel it if i were disapointed in myself?	situation(e,disappointedInSelf)	would i feel it if i were disapointed in myself	would {experiencer:i} feel {e:it} if {situation:{experiencer:i} were disapointed in {experiencer:myself}}	i would feel {e:it} if i were disapointed in myself	NULL	NULL	1
oh, is it frustrated?	e==frustration	oh is it frustrated	{interjection:oh} is {e:it} {emotion:frustrated}	NULL	NULL	NULL	1
would you feel this if your best friend died?	situation(e,friendDied)	would you feel this if your best friend died	would {experiencer:you} feel {e:this} if {situation:{experiencer:your} best friend died}	you would feel {e:this} if your best friend died	NULL	NULL	1
sadness?	e==sadness	sadness	{emotion:sadness}	NULL	NULL	NULL	2
grief?	e==grief	grief	{emotion:grief}	NULL	NULL	NULL	2
would you cry if you felt this?	behavior(e,crying)	would you cry if you felt this	would {behavior:{experiencer:you} cry} if {experiencer:you} felt {e:this}	you would cry if you felt {e:this}	NULL	NULL	1
sorrow?	e==sorrow	sorrow	{emotion:sorrow}	NULL	NULL	NULL	1
would you feel this if you lost your keys?	situation(e,loseKeys)	would you feel this if you lost your keys	would {experiencer:you} feel {e:this} if {situation:{experiencer:you} lost {experiencer:your} keys}	you would feel {e:this} if you lost your keys	NULL	NULL	1
would you feel it if you had an exam the next day?	situation(e,futureTest)	would you feel it if you had an exam the next day	would {experiencer:you} feel {e:it} if {situation:{experiencer:you} had an exam the next day}	you would feel {e:it} if you had an exam the next day	NULL	NULL	1
worry?	e==worry	worry	{emotion:worry}	NULL	NULL	NULL	1
shame?	e==shame	shame	{emotion:shame}	NULL	NULL	NULL	2
regret?	e==regret	regret	{emotion:regret}	NULL	NULL	NULL	3
you can express it in an obvious way\nby sighing?	behavior(e,sighing)	can you express it in an obvious way by sighing	can {experiencer:you} express {e:it} in an obvious way by {behavior:sighing}	you can express {e:it} in an obvious way by sighing	NULL	NULL	1
frustration?	e==frustration	frustration	{emotion:frustration}	NULL	NULL	NULL	2
would you feel it if you passed the screenings?	situation(e,passedScreening)	would you feel it if you passed the screenings	would {experiencer:you} feel {e:it} if {situation:{experiencer:you} passed the screenings}	you would feel {e:it} if you passed the screenings	NULL	NULL	1
would you feel it in a less joyful situation?	e.valence<passedScreening.valence	would you feel it in a less joyful situation	would {experiencer:you} feel {e:it} {situation:in a {cmp:less} joyful situation}	NULL	NULL	NULL	1
content?	e==contentment	content	{emotion:content}	NULL	NULL	NULL	2
would you feel it if you do a nice act?	situation(e,doingNiceAct)	would you feel it if you do a nice act	would {experiencer:you} feel {e:it} if {situation:{experiencer:you} do a nice act}	you would feel {e:it} if you do a nice act	NULL	NULL	1
satisfaction?	e==satisfaction	satisfaction	{emotion:satisfaction}	NULL	NULL	NULL	2
wait! I think I get it!\ngratefulness?	e==gratefulness	wait I think I got it gratefulness	{interjection:wait} {interjection:I think I got it} {emotion:gratefulness}	NULL	NULL	NULL	1
1)is it positive or negative?	e.valence==positive	NULL	NULL	NULL	NULL	NULL	1
2)is it highly activated?	e.activation==high	2 is it highly activated	{qnum:2} is {e:it} highly activated	{e:it} is highly activated	NULL	NULL	1
3) is it directed towards another person?	directed(e,otherPerson)	3 is it directed towards another person	{qnum:3} is {e:it} directed towards {beneficiary:another person}	{e:it} is directed towards another person	NULL	NULL	1
it is related to disliking somebody?	situation(e,dislikingOtherPerson)	is it related to disliking somebody	is {e:it} related to disliking somebody	{e:it} is related to disliking somebody	NULL	NULL	1
is it annoyance?	e==annoyance	is it annoyance	is {e:it} {emotion:annoyance}	{e:it} is annoyance	NULL	NULL	1
6)is it sth that you would feel if you want to take revenge at sb?	situation(e,revenge)	6 is it something that you would feel if you want to take revenge at someone	{qnum:6} is {e:it} something that {experiencer:you} would feel if {situation:{experiencer:you} want to take revenge at someone}	{e:it} is something that you would feel if you want to take revenge at someone	NULL	NULL	1
7)is it sth you feel when you are bored with someone?	situation(e,boredWithOtherPerson)	7 is it something you feel when you are bored with someone	{qnum:7} is {e:it} something {experiencer:you} feel when {situation:{experiencer:you} are bored with someone}	{e:it} it is something you feel when you are bored with someone	NULL	NULL	1
8)is it related to disgust about sth that that person does (e.g he is dirty etc)	situation(e,disgustAboutOtherPerson)	is it related to disgust about something that that person does eg he is dirty etc	{qnum:8} is {e:it} related to disgust about something that that person does {clarification:eg he is dirty etc}	{e:it} is related to disgust about something that that person does eg he is dirty etc	NULL	NULL	1
9)is it disgusted?	e==disgusted	9 is it disgusted	{qnum:9} is {e:it} {emotion:disgusted}	NULL	NULL	NULL	1
is it positive emotino?	e.valence==positive	is it positive emotion	is {e:it} positive emotion	{e:it} is positive emotion	NULL	NULL	1
directed to someone or something?	directed(e,otherPerson||directed(e,something)	directed to someone or something	directed to {beneficiary:someone or something}	{e:it} is directed to someone or something	NULL	NULL	1
is it something imagining the future?	directed(e,futureEnvisionment)	is it something imagining the future	is {e:it} something imagining the future	{e:it} is something related to imagining the future	NULL	NULL	1
is it sth (something) about the other has, not you?	situation(e,has(something,otherPerson)&&~has(something(self)))	is it something about the other has not you	is {e:it} something about the other has not {experiencer:you}	{e:it} is something about what another has  but not you	NULL	NULL	1
is it close to jeoulous than curious?	similar(e,jealous)>similar(e,curious)	is it closer to jealous than curious	is {e:it} closer to {emotion:jealous} than {emotion:curious}	{e:it} is closer to jealous than curious	NULL	NULL	1
is it close to desire than curious?	similar(e,desire)>similar(e,curious)	is it closer to desire than curious	is {e:it} closer to {emotion:desire} than {emotion:curious}	{e:it} is closer to desire than curious	NULL	NULL	1
can it be related loving the other?	similar(e,love)	can it be related to loving the other	can {e:it} be related to loving {beneficiary:the other}	{e:it} can be related to loving someone	NULL	NULL	1
is it affection?	e==affection	is it affection	is {e:it} {emotion:affection}	{e:it} is affection	NULL	NULL	1
-\nno\nit is positive	no,hint			NULL	NULL	NULL	1
-\nno\n(i count that as one question, so you have asked 9 already)	no,status,stickler	NULL	NULL	NULL	NULL	NULL	1
-\nno not really	no,hedge	NULL	NULL	NULL	NULL	NULL	1
-\nyes!!	yes,cheer	NULL	NULL	NULL	NULL	NULL	1
-\nyes!!!\n:-)\nyou got it, you are a genius too	yes,done,cheer	NULL	NULL	NULL	NULL	NULL	1
would you feel this if it was your birthday?	situation(e,birthday)	would you feel this if it was your birthday	would {experiencer:you} feel {e:this} if {situation:it was {experiencer:your} birthday	you would feel {e:this} if it was your birthday	NULL	NULL	1
would you feel it if your friend died?	situation(e,friendDied)	would you feel it if your friend died	would {experiencer:you} feel {e:it} if {situation:{experiencer:your} friend died}	you would feel {e:it} if your friend died	NULL	NULL	1
is it something you feel towards someone else?	directed(e,otherPerson)	is it something you feel towards someone else	is {e:it} something {experiencer:you} feel towards {beneficiary:someone else}	{e:it} is something you feel towards someone else	NULL	NULL	1
is it something you would feel towards a friend?	directed(e,friend)	is it something you would feel towards a friend	is {e:it} something {experiencer:you} would feel towards {beneficiary:a friend}	{e:it} is something you would feel towards a friend	NULL	NULL	1
is it considered a negative thing to feel?	e.valence==negative	is it considered a negative thing to feel	is {e:it} {modal:considered} a negative thing to feel	{e:it} is considered a negative thing to feel	NULL	NULL	1
hatred?	e==hatred	hatred	{emotion:hatred}	NULL	NULL	NULL	1
would you feel it if someone else had something you wanted?	situation(e,has(otherPerson,sthYouWant))	would you feel it if someone else had something you wanted	would {experiencer:you} feel {e:it} if {situation:someone else had something {experiencer:you} wanted}	you would feel {e:it} if someone else had something you wanted	NULL	NULL	1
would you feel this towards an enemy?	directed(e,enemy)	would you feel this towards an enemy	would {experiencer:you} feel {e:this} towards {beneficiary:an enemy}	you would feel {e:this} towards an enemy	NULL	NULL	1
would you most likely feel this towards someone you don't know?	directed(e,stranger)	would you most likely feel this towards someone you do not know	would {experiencer:you} {modal:most likely} feel {e:this} towards {beneficiary:someone you do not know}	you would  most likely feel {e:this} towards someone you do not know	NULL	NULL	1
pity?	e==pity	pity	{emotion:pity}	NULL	NULL	NULL	1
contempt?	e==contempt	contempt	{emotion:contempt}	NULL	NULL	NULL	1
it is a positive emotion?	e.valence==positive	it is a positive emotion	{e:it} is a positive emotion	{e:it} is a positive emotion	NULL	NULL	1
is it towards some other person	directed(e,otherPerson)	is it towards some other person	is {e:it} towards {beneficiary:some other person}	{e:it} is felt towards some other person	NULL	NULL	1
3) does it have to do with trying to obtain something that the othe person has?	situation(e,tryToObtainSthFromOtherPerson)	3 does it have to do with trying to obtain something that the other person has	{qnum:3} does {e:it} have to do with {situation:trying to obtain something that the other person has}	{e:it} has to do with trying to obtain something that the other person has	NULL	NULL	1
4)does it have to do with trying to be similar to some other person	situation(e,tryToBeSimilarToOtherPerson)	4 does it have to do with trying to be similar to some other person	{qnum:4} does {e:it} have to do with {situation:trying to be similar to some other person}	{e:it} has to do with trying to be similar to some other person	NULL	NULL	1
is it similar to ambitious?	similar(e,ambition)	is it similar to ambitious	is {e:it} similar to {emotion:ambitious}	{e:it} is similar to ambitious	NULL	NULL	1
is it similar to admiration?	similar(e,admiration)	is it similar to admiration	is {e:it} similar to {emotion:admiration}	{e:it} is similar to admiration	NULL	NULL	1
7)is it similar to having faith/trust in someone?	similar(e,faith)||similar(e,trust)	7 is it similar to having faith or trust in someone	{qnum:7} is {e:it} similar to {emotion:having faith or trust in someone}	{e:it} is similar to having faith or trust in someone	NULL	NULL	1
8)is it similar to desire?	similar(e,desire)	8 is it similar to desire	{qnum:8} is {e:it} similar to {emotion:desire}	{e:it} is similar to desire	NULL	NULL	1
is it similar to obsession?	similar(e,obsession)	is it similar to obsession	is {e:it} similar to {emotion:obsession}	{e:it} is similar to obsession	NULL	NULL	1
10)whether it is positive or negative does it depend on the degree that you feel it?	depend(e.valence,e.degreeFelt)	10 whether it is positive or negative does it depend on the degree that you feel it	{qnum:10} whether {e:it} is positive or negative does it depend on the degree that {experiencer:you} feel {e:it}	whether {e:it} is positive or negative depends on the degree that you feel {e:it}	NULL	NULL	1
11)then whether it is positive or negative does it depend on the situation in which you feel it?	depend(e.valence,e.situation)	11 then whether it is positive or negative does it depend on the situation in which you feel it	{qnum:11} {interjection:then} whether {e:it} is positive or negative does it depend on the situation in which {experiencer:you} feel {e:it}	whether {e:it} is positive or negative depends on the situation in which you feel {e:it}	NULL	NULL	1
is it similar to curiosity towards some person?	similar(e,curiosity)	is it similar to curiosity towards some person	is {e:it} similar to {emotion:curiosity towards some person}	{e:it} similar to curiosity towards some person	NULL	NULL	1
13)would you feel that towards someone who is superior to you?	directed(e,superiorPerson)	13 would you feel that towards someone who is superior to you	{qnum:13} would {experiencer:you} feel {e:that} towards {beneficiary:someone} who is superior to {experiencer:you}	you would feel {e:that} towards someone who is superior to you	NULL	NULL	1
14)would you feel that towards some close friend, with whom you feel comfortable?	directed(e,closeFriend)	14 would you feel that towards some close friend with whom you feel comfortable	{qnum:14} would {experiencer:you} feel {e:that} towards {beneficiary:some close friend with whom you feel comfortable}	you would feel {e:that} towards some close friend with whom you feel comfortable	NULL	NULL	1
15)it is similar to being influenced, inspired by someone?	similar(e,influencedByOther)||similar(e,inspiredByOther)	15 it is similar to being influenced or inspired by someone	{qnum:15} {e:it} is similar to {emotion:being influenced or inspired by someone}	{e:it} is similar to being influenced or inspired by someone	NULL	NULL	1
16) is it something related with following someone's behavior/example?	situation(e,followingOtherPersonsBehavior)	NULL	NULL	NULL	NULL	NULL	1
17)is it similar to surprised?	similar(e,surprise)	17 is it similar to surprised	{qnum:17} is {e:it} similar to {emotion:surprised}	NULL	NULL	NULL	1
18)is it surprised?	e==surprise	18 is it surprised	{qnum:18} is {e:it} {emotion:surprised}	NULL	NULL	NULL	1
18)is it astonished?	e==astonished	18 is it astonished	{qnum:18} is {e:it} {emotion:astonished}	NULL	NULL	NULL	1
19)amazed?	e==amazed	19 amazed	{qnum:19} {emotion:amazed}	NULL	NULL	NULL	1
20)astounded?	e==astounded	20 astounded	{qnum:20} {emotion:astounded}	NULL	NULL	NULL	1
so what was it??\ni don;t know :-(	giveup	NULL	NULL	NULL	NULL	NULL	1
would you feel it in a bad situation?	situation(e,bad)	would you feel it in a bad situation	would {experiencer:you} feel it {situation:in a bad situation}	you would feel {e:it} in a bad situation	NULL	NULL	1
would you feel it if someonw got sick?	situation(e,sick(otherPerson))	would you feel it if someone got sick	would {experiencer:you} feel {e:it} if {situation:someone got sick}	you would feel {e:it} if someone got sick	NULL	NULL	1
is it less intense than that?	e.activation<situation(e,sick(otherPerson))	is it less intense than that	is {e:it} {comparison:less} intense than that	NULL	NULL	NULL	1
would you feel it if someone was unfair to you?	situation(e,beUnfairTo(otherPerson,self))	would you feel it if someone was unfair to you	would {experiencer:you} feel {e:it} if {situation:someone was unfair to {experiencer:you}}	you would feel {e:it} if someone was unfair to you	NULL	NULL	1
would you feel it if someone died?	situation(e,otherPersonDied)	would you feel it if someone died	would {experiencer:you} feel {e:it} if {situation:someone died}	you would feel {e:it} if someone died	NULL	NULL	1
can you express it in an obvious way?	hasExternalExpression(e)	can you express it in an obvious way	can {experiencer:you} express {e:it} in an obvious way	NULL	NULL	NULL	1
can you feel it internally?	hasInternalExpression(e)	can you feel it internally	can {experiencer:you} feel {e:it} internally	NULL	NULL	NULL	1
do you feel it if you have done something bad to someone?	situation(e,self.doneSomethingBadTo(otherPerson))	do you feel it if you have done something bad to someone	do {experiencer:you} feel {e:it} if {situation:{experiencer:you} have done something bad to someone}	NULL	NULL	NULL	1
is it highly intense?	e.activation==high	is it highly intense	is {e:it} highly intense	NULL	NULL	NULL	1
is it moderate?	e.activation==moderate	is it moderate	is {e:it} moderate	NULL	NULL	NULL	1
would you feel it if you had a test the next day?	situation(e,futureTest)	would you feel it if you had a test the next day	would {experiencer:you} feel {e:it} if {situation:{experiencer:you} had a test the next day}	you would feel {e:it} if you had a test the next day	NULL	NULL	1
dissapointed?	e==disappointment	disappointed	{emotion:disappointed}	NULL	NULL	NULL	1
is it more intense than that?	e.activation>disappointment.activation	is it more intense than that	is {e:it} {comparison:more} intense than that	NULL	NULL	NULL	1
embarrassment?	e==embarrassment	embarrassment	{emotion:embarrassment}	NULL	NULL	NULL	2
positive?	e.valence==positive	positive	positive	NULL	NULL	NULL	1
feeling toward u?	directed(e,self)	NULL	NULL	NULL	NULL	NULL	1
highly activated?	e.activation==high	highly activated	highly activated	NULL	NULL	NULL	1
close to excited?	similar(e,excited)	close to excited	close to {emotion:excited}	NULL	NULL	NULL	1
excited?	e==excited	excited	{emotion:excited}	NULL	NULL	NULL	1
happy?	e==happiness	happy	{emotion:happy}	NULL	NULL	NULL	1
close to surprised?	similar(e,surprise)	close to surprised	close to {emotion:surprised}	NULL	NULL	NULL	1
joyful?	e==joyful	joyful	{emotion:joyful}	NULL	NULL	NULL	1
flatterred?	e==flattered	flattered	{emotion:flattered}	NULL	NULL	NULL	1
oh amazement?	e==amazement	oh amazement	{interjection:oh} {emotion:amazement}	NULL	NULL	NULL	1
umm\noptimism?	e==optimism	umm optimism	{interjection:umm} {emotion:optimism}	NULL	NULL	NULL	1
hope?	e==hope	hope	{emotion:hope}	NULL	NULL	NULL	1
